team,bench1,bench2,bench3,bench4,bench5
Toronto Raptors,77,74,76,66,85
Philadelphia 76ers,75,76,76,75,75
Boston Celtics,79,84,84,77,74
Brooklyn Nets,79,76,78,72,76
New York Knicks,74,71,81,77,75
Denver Nuggets,70,72,76,73,76
Portland Trail Blazers,73,75,70,70,70
Utah Jazz,74,75,74,69,79
Oklahoma City Thunder,81,72,68,74,77
Minnesota Timberwolves,75,76,75,71,70
Milwaukee Bucks,76,72,73,77,79
Indiana Pacers,74,80,73,72,79
Detroit Pistons,76,69,75,72,76
Chicago Bulls,69,74,70,77,71
Cleveland Cavaliers,73,75,68,74,76
Golden State Warriors,74,67,77,75,77
Los Angeles Clippers,78,82,77,76,75
Sacramento Kings,74,77,72,75,76
Los Angeles Lakers,79,76,82,76,75
Phoenix Suns,70,77,74,75,73
Orlando Magic,74,74,70,76,77
Miami Heat,75,78,71,77,85
Charlotte Hornets,76,74,74,75,76
Washington Wizards,76,69,81,74,74
Atlanta Hawks,75,70,72,77,74
Houston Rockets,90,77,69,78,76
San Antonio Spurs,76,72,72,75,75
Dallas Mavericks,72,78,76,73,76
New Orleans Pelicans,70,75,73,72,73
Memphis Grizzlies,77,74,66,73,78




